content,category,cluster,content_for_labeling,topic_label
trotoar pembatas harap diperbaiki agar motor tidak nyebrang2 dilokasi ini pasang separator sangat berbahaya,Jalan,7,trotoar batas harap baik motor nyebrang lokasi pasang separator bahaya,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
tolong dipasang tembok pembatas lagi supaya mobil dari pertigaan tidak bisa nyebrang lagi. bikin macet!,Jalan,7,tolong pasang tembok batas mobil tiga nyebrang bikin macet,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
tukang sampah tugasnya membersihkan sampah dan lingkungan justru setiap hari taruh gerobak sampah dan motor penariknya di jalanan yg mengganggu ketertiban umum dan kebersihan lingkungan.,Sampah ,23,tukang sampah tugas bersih sampah lingkung taruh gerobak sampah motor tarik jalan ganggu tertib bersih lingkung,"['cawang', 'liar', 'biar', 'jalan', 'lurah']"
mhn sampah kerukan selokan ini agar diangkut krn bukan sampah komplek kami. sampah berasal dr atas. kami sdh mengeruknya. terimakasih,Sampah ,3,mhn sampah kerukan selokan angkut sampah komplek sampah asal keruk terimakasih,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
tolong ini mobil ppsu bawanya ugal&quot;n hampir nabrak pengendara lain .. segera dipecat ni plat mobil ppsu 9952pta sdm rendah klw dikasih kendaraan seperti ini mending bawa gerobak aja,Sampah ,10,tolong mobil ppsu bawa ugal n nabrak kendara pecat ni plat mobil ppsu pta sdm rendah kasih kendara mending bawa gerobak,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"butuh segera ditindaklanjut karena jalan jebol , sepertinya jalan keuangan i rapuh dari kemarin jebol terus di dalamnya adagot",Jalan,1,butuh ditindaklanjut jalan jebol jalan uang i rapuh kemarin jebol dalam adagot,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
belanja di blokir pagar rumah,Perizinan ,25,belanja blokir pagar rumah,"['belanja', 'rumah', 'parkir', 'blokir', 'liar']"
parkir sembarangan kagak punya garasi... segera derek,Parkir Liar,10,parkir sembarang kagak garasi derek,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"permasalahan: kali sarua meluap lagi, permohonan kami untuk meninggikan jembatan dan menambah tanggul seperti tidak ada yg mendengarkan ataupun kembaca surat yang sudah disetujui gubernur tetdahulu. mana tanggun jawab pemeritnah?",Penanganan Banjir,3,masalah kali sarua luap mohon tinggi jembatan tambah tanggul dengar kembaca surat tuju gubernur tetdahulu tanggun pemeritnah,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"pak ogah meresahkan membuat lalulintas macet, tolong lakukan tindakan penertiban jangan hanya tindakan foto terus selesai",Gangguan dan Kebisingan  ,7,ogah resah lalulintas macet tolong laku tindak tertib tindak foto selesai,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
"trotoar rusak berat, butuh perbaikan paving block trotoar.",Trotoar,4,trotoar rusak berat butuh baik paving block trotoar,"['tolong', 'rusak', 'jalan', 'lampu', 'tiang']"
"taman nya bagus luar biasa, tapi fasilitas anak nya sangat minim dan terkesan usang. mohon di tingkatkan fasilitas mainan anak nya",RPTRA,17,taman bagus fasilitas anak minim kes usang mohon tingkat fasilitas main anak,"['bus', 'stop', 'jak', 'rute', 'tumpang']"
lampu jalan mati semua (padam berderet) pada sepanjang jalan ini,Jaringan Listrik ,11,lampu jalan mati padam deret jalan,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
parkir liar di bahu jalan ganggu kelancaran aarus lalin mohon ditertibkan,Parkir Liar,18,parkir liar bahu jalan ganggu lancar aarus lalin mohon tertib,"['langgar', 'tertib', 'parkir', 'liar', 'mohon']"
"batu kanstin jalan kembali rusak lagi, mohon agar diperbaiki kembali yang kuat agar tidak gampang rusak kembali",Jalan,4,batu kanstin jalan rusak mohon baik kuat gampang rusak,"['tolong', 'rusak', 'jalan', 'lampu', 'tiang']"
kapan dibangun tanggulnya??? kapan ditinggikan jembatannya yang selalu tenggelam???? kapan????,Jalan,11,bangun tanggul tinggi jembatan tenggelam,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
mohon bantuan merapikan kabel-kabel fiber optik yang merosot ke bawah.,Jaringan/Menara Telekomunikasi,6,mohon bantu rapi kabel kabel fiber optik merosot,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
lampu jalan padam semua 1 grup sehingga jalan menjadi gelap sekali berikut keterangannya (senin 7 april 2025): pukul 00.17 lampu mati semua pukul 01.01 kembali menyala pukul 01.23 lampu mati semua kembali pukul 01.35 kembali menyala pukul 01.53 semua lampu mati lagi sepertinya memang ada masalah pada jalue grup lampu tersebut mohon di cek kelokasi dan di cari sumber masalahnya,Jaringan Listrik ,11,lampu jalan padam grup jalan gelap terang senin april lampu mati nyala lampu mati nyala lampu mati jalue grup lampu mohon cek lokasi cari sumber,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
sudin binamarga jakut asal asalan kerja terus lampu masih mati bilang uda tl. pjlp binamarga jakut parah sekali. jalan lubang dimana2,Jalan,11,sudin binamarga jakut asal kerja lampu mati bilang tolong pjlp binamarga jakut parah jalan lubang mana,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
trotoar untuk pejalan kaki bukan untuk jaln motor dan parkir motor. saya hampir ditabrak ditrotoar.,Gangguan dan Kebisingan  ,10,trotoar pejal kaki jaln motor parkir motor tabrak trotoar,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"lampu pju sudah mati sebelum lebaran , mohon dibantu untuk perbaikan nya karena gelap",Jaringan Listrik ,11,lampu terang jalan umum mati lebaran mohon bantu baik gelap,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
stang pju rusak dan patah segera lakukan penggantian dan perbaikan jangan dibiarkan saja,Jalan,11,stang terang jalan umum rusak patah laku ganti baik biar,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
sampah bambu sampah bambu bekas baliho poli-tikus sampah kenapa ga dibuang? sudah ada orderan baru poli-tikus yg mau narsis di mari?,Sampah ,36,sampah bambu sampah bambu bekas baliho pol tikus sampah buang order pol tikus narsis mari,"['liar', 'spanduk', 'rokok', 'iklan', 'baliho']"
banyak sekali lubang dan rusak pastikan mulus semua dan ditambal dengan baik. akan kami monitoring ketat,Jalan,1,lubang rusak pasti mulus tambal monitoring ketat,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
ada kabel kendor yang harus diperbaiki needs urgent action because dapat membahayakan orang lain,Jalan,6,kabel kendor baik needs urgent action because bahaya orang,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
makom kagak boleh di kijing segera bongkar bikin yg cakep kaya punduk ranggon,TPU (Tempat Pemakaman Umum),10,makom kagak kijing bongkar bikin cakep kaya punduk ranggon,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
sudah berminggu-minggu trotoar bolong dan jalanannya tidak rata. ada yang lubang besar dan ada yg bercelah. kalau musim hujan sangat becek berlumpur dan membahayakan. harap dapat segera ditangani mengingat saat ini mulai memasuki musim hujan,Trotoar,1,minggu minggu trotoar bolong jalan lubang celah musim hujan becek lumpur bahaya harap tangan pasuk musim hujan,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
pohon rimbun cuaca sedang tidak haik segera tindak lanjuti masalah,Pohon,6,pohon rimbun cuaca haik tindak lanjut,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
kembali bau bakar sampah sangat menyengat dan asapnya membuat perih mata,Sampah ,5,bau bakar sampah sengat asap perih mata,"['bakar', 'warga', 'sampah', 'ganggu', 'tindak']"
mohon dinas pertamanan melakukan penopingan dahan pohon tersebut karena petugas lampu pju tidak bisa melakukan perbaikan tiang pju yang miring karena terhalang oleh dahan pohon,Pohon,6,mohon dinas taman penopingan dahan pohon tugas lampu terang jalan umum baik tiang terang jalan umum miring halang dahan pohon,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"ada sampah karung dan tanah tolong dibersihkan, terima kasih",Sampah ,37,sampah karung tanah tolong bersih terima kasih,"['tolong', 'sampah', 'angkat', 'kasih', 'terima']"
"tolong buat dishub kecamatan agar anggota di tempatkan disitu dari jam 19:00 samapi jam 21:00 agar tidak ada lagi bus yng mangkal karena ini sudah jelas terminal bayangan,kalau tidak di jalankan berati ada sesuatu sama pimpinannya.",Keluhan Pelayanan ,10,tolong dishub camat anggota tempat situ jam samapi jam bus yng mangkal terminal bayang jalan berat pimpin,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
assalamu'alaikum izin saya selalu keua rt 002/01 butuh segera di tindak lanjuti karena saluran got kami bermasalah dengan banyak nya lumpur di wilayah saluran got kami dikarenakan sedang musim hujan yang kami khawatirkan banjir di wilayah kami dengan ada nya saluran yg penuh dengan lumpur terimakasih.,"Saluran Air, Kali/Sungai",3,assalamu alaikum izin keua butuh tindak lanjut salur got masalah lumpur wilayah salur got musim hujan khawatir banjir wilayah salur penuh lumpur terimakasih,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
sungguh sangat-sangat ironis laporan seperti ini harus saya sampaikan berulang-ulang kali ..dimanakah rasa iba dan prihatin kalian melihat anak-anak kecil ditengah malam dan ditengah guyuran hujan dipaksa mengamen???? dimana kah rasa tanggung jawab kalian membiarkan ini terjadi tanpa ada monitor???,PMKS (Penyandang Masalah Kesejahteraan Sosial),0,sungguh ironis lapor ulang ulang kali mana iba prihatin anak anak tengah malam tengah guyur hujan paksa amen mana kah tanggung biar monitor,"['lapor', 'ulang', 'tolong', 'langgar', 'selesai']"
lampu pju mati sebelah.,Jaringan Listrik ,11,lampu terang jalan umum mati belah,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"segera tindak lanjuti masalah, tumpukan sampah yg belum di buang",Sampah ,3,tindak lanjut tumpu sampah buang,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
segera tindak lanjuti masalah penutupan saluran air kami. banjir sudah selutut orang dewasa masuk ke rumah padahal hujan hanya sebentar. sampai kapan kami warga rt 013/ rw 09 mengalami hal seperti ini? kami lelah karna tidak ada penyelesaian dari pihak pemerintah. penyedotan air hanya dilakukan di jam2 tertentu dan hanya 1 aksesnya tidak pernah menyelesaikan masalah banjir yg kami alami. bahkan tidak hujan pun akses jalan kami tidak bisa di lewati karena banjir akses jalan selutut. kami mohon untuk menindaklanjuti. karena ini sudah 4 bulan seperti ini.semoga bpk/ibu tergerak hati nuraninya. terima kasih,Penanganan Banjir,3,tindak lanjut tutup salur air banjir lutut orang dewasa masuk rumah hujan sebentar warga alami lelah karna selesai perintah sedot air jam akses selesai banjir alami hujan akses jalan lewat banjir akses jalan lutut mohon menindaklanjuti moga bpk gerak hati nurani terima kasih,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
"permasalahan: rambu jalan lepas dari tanah dan posisi tidak terlihat, harap diperbaiki dan di tl",Jalan,4,masalah rambu jalan lepas tanah posisi harap baik tolong,"['tolong', 'rusak', 'jalan', 'lampu', 'tiang']"
saluran mampet akibat curah hujan yg tinggi agar selikan dilancarkan sampai di selokan jalan gondang sari segera tindak lanjuti masalah,Sampah ,3,salur mampet akibat curah hujan lik lancar selokan jalan gondang sari tindak lanjut,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
kotamembangun enggak unjuk ijin pbg atau plank obg ke ruang publik,Tata Ruang dan Bangunan ,26,kotamembangun unjuk ijin pbg plank obg ruang publik,"['unjuk', 'bangun', 'ijin', 'lurah', 'duga']"
"tolong sedikit dirapihkan dedaunan yang dekat traffic light pengatur belok kanan, karena sulit melihat traffic light terhalang daun dari pepohonan. thanks 🙏",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),6,tolong dirapihkan dedaunan traffic light atur belok kanan sulit traffic light halang daun pohon thanks,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
ada pelanggaran segera tindak lanjuti masalah butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena,PKL Liar,20,langgar tindak lanjut butuh ditindaklanjuti butuh ditindaklanjuti,"['tindak', 'butuh', 'ditindaklanjuti', 'langgar', 'jalan']"
"sepanjang pedestrian banyak yang rusak, mohon dilakukan pemeliharaan yang sistematis agar tidak terjadi cidera pada engkel kaki para pengguna pedestrian, 86segera tindak lanjuti masalah.","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",1,pedestrian rusak mohon pelihara sistematis cidera engkel kaki guna pedestrian tindak lanjut,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
mohon dapat dibuatkan track lari disekeliling lapangan bola ini (mengelilingi lapangan) agar masyarakat kebayoran lama dapat berolahraga lari tanpa harus ke gbk.,Fasilitas dan Layanan Olahraga,7,mohon buat track lari keliling lapang bola keliling lapang masyarakat kebayoran olahraga lari gbk,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
"jam 17.00 pkl liar di fasum trotoar, badan jalan, saluran air! harap segera disterilkan! korupsi! haram!",PKL Liar,21,jam liar fasum trotoar badan jalan salur air harap steril korupsi haram,"['harap', 'fasum', 'liar', 'trotoar', 'korupsi']"
kemaren ngerjain apa ? ? masalah berulang gak pernah selesai parkir liar bikin sempit jalan raya utama lurah/camat bisa ngatasin gak??? takut apa sama rw dan rt setempat,Jalan,10,kemarin ngerjain ulang selesai parkir liar bikin sempit jalan raya utama lurah camat ngatasin takut,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
"dua titik jalan rusak, nunggu hujan?.. depan mnc , atau belasan meter sebelum stasiun . mohon dinas bina marga. terimakasih",Jalan,14,titik jalan rusak nunggu hujan mnc bas meter stasiun mohon dinas bina marga terimakasih,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
banner sumbangan komersil liar tanpa ijin dipasang di pagar separator jalur busway di tengah2 jalan umum.,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",30,banner sumbang komersil liar ijin pasang pagar separator jalur busway jalan,"['jalan', 'pasang', 'atur', 'liar', 'ijin']"
lampu pju mati (titik ke 5).,Jaringan Listrik ,42,lampu terang jalan umum mati titik,"['terang', 'jalan', 'lampu', 'titik', 'mati']"
depan plaza senayan byk pkl makan badan jln sehingga bikin jln tambah sempit dan macet.,PKL Liar,10,plaza senayan byk makan badan jalan bikin jalan sempit macet,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
papan promosi dewa motor yg ditaruh di trotoar pejalan kaki dan speaker yg setiap harinya selalu disetel keras2.,Gangguan dan Kebisingan  ,30,papan promosi dewa motor taruh trotoar pejal kaki speaker hari setel keras,"['jalan', 'pasang', 'atur', 'liar', 'ijin']"
"setelah pekerjaan pengasapalan ulang jalan (layer) di kedua adah pada fly over roxy, marka jalan belum dibuat kembali mohon agar marka jalannya segera dibuat kembali",Jalan,45,kerja pengasapalan ulang jalan layer adah fly over roxy marka jalan mohon marka jalan,"['marka', 'jalan', 'mohon', 'layer', 'kerja']"
segera tindak lanjuti masalah kemacetan lalin dikarenakan parkir liar,Parkir Liar,7,tindak lanjut macet lalin parkir liar,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
lampu pju oadam tolong dioerbaiki segera karena gelap,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,lampu terang jalan umum oadam tolong dioerbaiki gelap,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"menurut peraturan daerah (perda) yang mengatur parkir sembarangan adalah perda provinsi dki jakarta nomor 5 tahun 2012 tentang perparkiran. pasal 140 perda ini mengatur bahwa setiap pemilik kendaraan bermotor wajib memiliki atau menguasai garasi. •selain perda, parkir sembarangan juga diatur dalam undang-undang (uu) dan peraturan pemerintah (pp): uu no. 22 tahun 2009 tentang lalu lintas dan angkutan jalan (llaj) pasal 106 ayat (4) pp jalan nomor 34 tahun 2006 •sanksi yang dapat dikenakan kepada pelanggar parkir sembarangan adalah: denda maksimal rp500.000, kurungan penjara paling lama dua bulan, kendaraan diderek oleh petugas dinas perhubungan. parkir mobil di bahu jalan dan akses keluar masuk kendaraan jadi sulit .. mohon petugas untuk segara di tl terimakasih",Keluhan Pelayanan ,34,atur daerah perda atur parkir sembarang perda provinsi dki jakarta nomor parkir pasal perda atur milik kendara motor wajib milik kuasa garasi perda parkir sembarang atur undang undang uu atur perintah pp uu nomor lintas angkut jalan llaj pasal ayat pp jalan nomor sanksi kena langgar parkir sembarang denda maksimal rp kurung penjara kendara derek tugas dinas hubung parkir mobil bahu jalan akses masuk kendara sulit mohon tugas segara tolong terimakasih,"['trotoar', 'pasal', 'kendara', 'atur', 'llaj']"
banyak pmks di jpo bereskan segera sudah sering sekali,PMKS (Penyandang Masalah Kesejahteraan Sosial),10,pmks jpo beres,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
lampu pju mati tolong diperbaiki agar terang terimakasih,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11,lampu terang jalan umum mati tolong baik terang terimakasih,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
pohon terlalu rindang kebawah pas belok susah pejalan atau motor saat belok. tidak jauh dari sekolah usia anak anak,Pohon,14,pohon rindang bawah pas belok susah pejal motor belok sekolah usia anak anak,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
"coretan liar di jembatan ciliwung cideng, minta tolong dibersihkan.",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),28,coret liar jembatan ciliwung cideng tolong bersih,"['coret', 'bersih', 'liar', 'vandalisme', 'tolong']"
"tidak ada petugas, pembiaran angkot ngetem. tlg standby sampe malem",Parkir Liar,7,tugas biar angkot ngetem tolong standby sampe malem,"['macet', 'jalan', 'arah', 'lampu', 'mohon']"
"permasalahan: banyak sampah di got, tidak pernah dibersihkan segera tindak lanjuti masalah...",Sampah ,3,masalah sampah got bersih tindak lanjut,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
kepada yg terhormat dinkes jakbar. dan lurah tegal alur. dwi kurniasih. perihal di wilayah ibu.toko obat keras berkedok kosmetik. untuk lebih serius mengangani perihal ini..!!!!!!!!!!!!!!!!!!!!!! butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena butuh segera ditindaklanjuti karena,Perizinan ,46,hormat dinkes jakbar lurah tegal alur dwi kurniasih perihal wilayah toko obat keras kedok kosmetik serius angan perihal butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti butuh ditindaklanjuti,"['butuh', 'ditindaklanjuti', 'obat', 'keras', 'dinkes']"
trotoar digunakan untuk parkir mobil dan motor sehingga menyusahkan pejalan kaki. disarankan datangi lokasi di sekitar jam 18.00-19.00. tolong di tl,Parkir Liar,18,trotoar parkir mobil motor susah pejal kaki saran datang lokasi jam tolong tolong,"['langgar', 'tertib', 'parkir', 'liar', 'mohon']"
banyak mobil. bukan 1 tl untuk puluhan laporan ada pelanggaran,Parkir Liar,0,mobil tolong puluh lapor langgar,"['lapor', 'ulang', 'tolong', 'langgar', 'selesai']"
"selamat malam, izin melaporkan kondisi lampu pju tidak menyala..mohon bantuan untuk pengecekan dan tindak lanjut.. terima kasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",2,selamat malam izin lapor kondisi lampu terang jalan umum nyala mohon bantu kece tindak terima kasih,"['selamat', 'mohon', 'terima', 'kasih', 'bantu']"
"sudah dilaporkan puluhan kali. tindak lanjut terakhir sengaja dilakukan pada pagi hari sekitar pukul 10 pagi. tolong ditindak lanjuti pada hari kerja pada jam makan siang sampai sore hari. bukan pada pagi hari dibawah jam 12 disaat pedagang tidak berada ditempat. lapak2 dan pkl liar berjualan di sepanjang jalan memenuhi taman separator dan bahu jalan yg semustinya diperuntukkan untuk parkir kendaraan untuk tempat usaha legal di sekitarnya dan sebagai ruang hijau. sudah berpuluh2 kali dilaporkan. lingkungan jadi terlihat berantakan dan setiap hari sampah berserakan dan menumpuk dimana2. premanisme yg jg subur di daerah ini didukung oleh oknum aparat yg tidak jujur dan tidak serius menangani pelanggaran aturan di daerah ini. kalau dilaporkan oleh masyarakat, biasanya petugas mengatakan bahwa akan dan sudah dilakukan monitor secara berkala tetapi setiap hari tidak berubah dan pkl liar selalu berada di titik yg sama. bahkan menunjukkan surat peringatan tetapi tidak ada satupun pelanggar yg ditindak dan setiap hari memenuhi jalan. taman kemang itu semustinya area hijau yg sering digunakan masyarakat sekitar untuk lari pagi, jogging atau berkumpul. tempat2 usaha resmi dipenuhi lapak liar dan bahu jalan yg diperuntukkan untuk parkir sepanjang jalan dipenuhi pkl liar. sekarang taman kemang penuh dengan lapak2 dan pkl liar, preman, sampah, pencurian listrik, dll. tolong ditertibkan pada saat hari kerja senin sampai jumat (bukan hari sabtu atau minggu) pada jam makan siang (bukan pagi hari) dan pada sore hari sesuai peraturan yg berlaku.",PKL Liar,30,lapor puluh kali tindak sengaja pagi pagi tolong tindak lanjut kerja jam makan siang sore pagi bawah jam saat dagang tempat lapak liar jual jalan penuh taman separator bahu jalan semustinya untuk parkir kendara usaha legal ruang hijau puluh kali lapor lingkung beranta sampah sera tumpuk mana preman jg subur daerah dukung oknum aparat jujur serius tangan langgar atur daerah lapor masyarakat tugas monitor kala ubah liar titik surat ingat satu langgar tindak penuh jalan taman kemang semustinya area hijau masyarakat lari pagi jogging kumpul usaha resmi penuh lapak liar bahu jalan untuk parkir jalan penuh liar taman kemang penuh lapak liar preman sampah curi listrik tolong tertib kerja senin jumat sabtu minggu jam makan siang pagi sore sesuai atur laku,"['jalan', 'pasang', 'atur', 'liar', 'ijin']"
"setiap hujan agak deras, jalan selalu tergenang lumayan tinggi. mohon penanganan karena area ini adalah akses menuju rumah sakit. jika ada penanganan darurat dapat menghambat pasien.",Jalan,3,hujan deras jalan genang lumayan mohon tangan area akses rumah sakit tangan darurat hambat pasien,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
banyak lampu pju padam. butuh segera ditindaklanjuti karena sedang banyak rumah kosong ditinggal mudik dan menjadi rawan kriminal,Jaringan Listrik ,11,lampu terang jalan umum padam butuh ditindaklanjuti rumah kosong tinggal mudik rawan kriminal,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
"tutup saluran berlubang, tolong dipasang 1 buah depan st. kalideres",Tutup Saluran ,4,tutup salur lubang tolong pasang buah st kalideres,"['tolong', 'rusak', 'jalan', 'lampu', 'tiang']"
dugaan vandalisme indohome bertempelan besar mohon dicabut di status fasum ini,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",26,duga vandalisme indohome tempel mohon cabut status fasum,"['unjuk', 'bangun', 'ijin', 'lurah', 'duga']"
minta2 kagak ijin segera satgas p3s dinsos pos pantau lagi ngopi bae,PMKS (Penyandang Masalah Kesejahteraan Sosial),10,kagak ijin satgas p s dinsos pos pantau ngopi bae,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
permasalahan: banyak sampah dan rumput liar di got tidak pernah di bersihkan. segera tindak lanjuti masalah...,Sampah ,3,masalah sampah rumput liar got sih tindak lanjut,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
mohon butuh segera ditindaklanjuti karena jalanan berlobang terima kasih,Jalan,1,mohon butuh ditindaklanjuti jalan berlobang terima kasih,"['jalan', 'lubang', 'bahaya', 'rusak', 'mohon']"
"berbahaya pohon sudah sangat rimbun, mohon dinas pertamanan melakukan toping supaya pohon tidak patah dan menimpa atap rumah atau kendaraan lewat.",Pohon,6,bahaya pohon rimbun mohon dinas taman toping pohon patah timpa atap rumah kendara,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
tanaman merambat ke kabel listrik sangat berbahaya segera tindak lanjuti masalah,Pohon,6,tanam rambat kabel listrik bahaya tindak lanjut,"['pohon', 'kabel', 'mohon', 'bahaya', 'jalan']"
"mohon bantuan lampu merah pertigaan guning sahari dengan mangga besar mati,",Perlengkapan Lalu Lintas,11,mohon bantu lampu merah tiga guning sahari mangga mati,"['lampu', 'mati', 'jalan', 'terang', 'mohon']"
pintu otomatis sebelah kanan bagian belakang seperti ada yang kendur/oblak. setiap melewati jalan berlubang/tidak rata berbunyi terus. saya khawatir lepas dan membahayakan penumpang lainnya. mohon berkenan tl.,Transportasi Publik,17,pintu otomatis belah kanan kendur oblak lewat jalan lubang bunyi khawatir lepas bahaya tumpang mohon kenan tolong,"['bus', 'stop', 'jak', 'rute', 'tumpang']"
tolong ini truk parkir sembarangan ditegor malah marah.. bikin macet,Parkir Liar,10,tolong truk parkir sembarang ditegor marah bikin macet,"['parkir', 'jalan', 'liar', 'tindak', 'mobil']"
ada pelanggaran segera tindak lanjuti masalah masalah ini terjadi saat butuh segera ditindaklanjuti karena sampah puing.,PKL Liar,3,langgar tindak lanjut butuh ditindaklanjuti sampah puing,"['sampah', 'air', 'salur', 'mohon', 'tindak']"
masalah ini terjadi saat pintu samping kiri belakang berisik,Transportasi Publik,20,pintu samping kiri berisik,"['tindak', 'butuh', 'ditindaklanjuti', 'langgar', 'jalan']"
genangan sepanjang 10m kurnag dibuat sal air rendah .tindaklanjut?,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",14,genang m kurnag sal air rendah tindaklanjut,"['sampah', 'air', 'hujan', 'mohon', 'jalan']"
"berjualan menutup trotoar bahkan menutup jalan disabilitas, dimohon untuk ditindaklanjuti terimakasih",Trotoar,18,jual tutup trotoar tutup jalan disabilitas mohon ditindaklanjuti terimakasih,"['langgar', 'tertib', 'parkir', 'liar', 'mohon']"
iklan rokok iklan rokok iklan rokok wow ada pesta iklan nikotin nih sepanjang kemang 1e,Kawasan Dilarang Merokok,36,iklan rokok iklan rokok iklan rokok wow pesta iklan nikotin kemang e,"['liar', 'spanduk', 'rokok', 'iklan', 'baliho']"
