content,category,cluster
"kendaraan lawan arus sepanjang jalan ini, mohon di tindak lanjut . terima kasih",Arus Lalu Lintas,27
banyak sekali jalan rusak perbaiki dan tambal segera zero hole jakarta,Jalan,1
pohon besar kanan kiri jalan sudah rimbun. takut ranting tidak kuat menahan angin dan hujan. tolong di toping,Pohon,6
masih ada pkl liar yang mangkal.. satpol pp kerja kaga becus cuma mengulangi foto yg sama .. gw akan terus foto sampai benar bersih biar kalian satpol pp yg kerjanya cuma foto doank biar kerja,PKL Liar,10
"segera dikoordinasikan dengan pihak pertamanan, agar diperbaharui pot pot taman beton yang telah hancur",Taman ,39
harap turunkan bendera ormas di fasum area publik! meresahkan dan mengganggu ketertiban umun!,Gangguan dan Kebisingan  ,21
tolong iklan reklame ksatria driving apakah sudah bayar pajak? . jika belum kapan karna pernah diposting. setiap bulan bersama tiga iklan lain ditanyakan kedinasan ketuntasannya. kronologi: iklan ksatria motor menurut ka ptsp reza pahlevi belum ijin ptsp dan belum diunjuk ijin pajak reklame nya. sedang iklan mie di cemputtengah ditutup agak besar dgn stiker belum bayar pajak. dulu iklan ksatria ditutup stiker kaya mainan anak anak kecil bentuknya. belum masuk medsos ka upprd kecamatan atau badan pendapatan. ksatria mobil sudah kaya raya cabang di wil kartini dan gak punya parkiran apakah bayar ada pungutan yg dijakarta susah serba gratis kalau banyak. wilayah rt013/02 nila yg ada barbuk banner pungli bayar lahan parkir itu belum ditulis di pernyataannya,Keluhan Pelayanan ,26
"butuh segera ditindaklanjuti karena lampu jalan redup ingin mati, lokasi pas di perempatan jalan. sering terjadi kemalingan.",Jalan,11
"tolong dua jenis iklan bakso chef ukuran lebih semeter dgn led dan minuman prima sudah pajak belum , setiap bulan di posting perkembangan ketuntasan pajaknya dan mohon surat tegor pajak,tiap bulan ya diposting kejelasannya. kronologi: studi banding karna iklan ksatria motor yg cabangnya sudah kaya raya dimana mana seperti di kel kartini, ada surat ptsp kecamatan bpk reza pahlevi belum ijin terkait ptsp nya dan sisi pajak diperlama",Keluhan Pelayanan ,26
tolong iklan reklame vape foom apakah sudah bayar pajak? . jika belum kapan karna pernah diposting. setiap bulan bersama tiga iklan lain ditanyakan perjuangan ketuntasannya. kronologi: iklan ksatria motor menurut ka ptsp reza pahlevi belum ijin ptsp dan belum diunjuk ijin pajak reklame nya. sedang iklan mie di cemputtengah ditutup agak besar dgn stiker belum bayar pajak. dulu iklan ksatria ditutup stiker kaya mainan anak anak kecil bentuknya. belum masuk medsos ka upprd kecamatan atau badan pendapatan. ksatria mobil sudah kaya raya cabang di wil kartini dan gak punya parkiran apakah bayar ada pungutan yg dijakarta susah serba gratis kalau banyak,Keluhan Pelayanan ,26
tolong iklan reklame foom apakah sudah bayar pajak? . jika belum kapan karna pernah diposting. setiap bulan bersama tiga iklan lain ditanyakan kedinasan ketuntasannya. kronologi: iklan ksatria motor menurut ka ptsp reza pahlevi belum ijin ptsp dan belum diunjuk ijin pajak reklame nya. sedang iklan mie di cemputtengah ditutup agak besar dgn stiker belum bayar pajak. dulu iklan ksatria ditutup stiker kaya mainan anak anak kecil bentuknya. belum masuk medsos ka upprd kecamatan atau badan pendapatan. ksatria mobil sudah kaya raya cabang di wil kartini dan gak punya parkiran apakah bayar ada pungutan yg dijakarta susah serba gratis kalau banyak. wilayah rt013/02 nila yg ada barbuk banner pungli bayar lahan parkir itu belum ditulis di pernyataannya,Jaringan/Menara Telekomunikasi,26
"penerangan jalan sepanjang s parman mati kondisi sangat gelap, dan banyak pejalan kaki juga disini dikhawatirkan terjadi hal yg tidak diinginkan, jadi mohon untuk segera diperbaiki. terimakasih",Jaringan Listrik ,11
"butuh segera ditindaklanjuti karena mobil ini setiap hari dari pagi, siang, sore, malam selalu parkir di jalan umum, menggangu arus lalu lintas jalanan yang sudah sangat sempit. jalanan ini dilalui oleh jaklingko dan ketika berpapasan selalu membuat macet karena adanya mobil parkir liar ini. mohon diminta pada pemilik mobil parkir di garasi bukan sembarangan di jalan umum",Parkir Liar,10
"untuk yang kedua kali di laporkan agar di tindak lanjuti pohon sudah sangat rindang khawatir rubuh hujan angin jikalau memang kelurahan sibuk tidak ada waktu untuk memotong menebang maka laporan ini sebagai landasan untuk menebang sendiri jangan sampai melanggar sesuai perda nomor 11 tahun 2014, penebangan dan perempesan pohon harus ada izinnya, tidak bisa serta-merta, segera tindak lanjuti masalah",Pohon,6
"surat undang no.e-0236/pu.04.00 tanggal 12 november 2024 yang dikeluarkan oleh bapak camat kecamatan ciracas. hasil rapat klausul 2.b dan 2.c belum diimplementasikan. selama validasi di biro pemerintahan tidak dijalankan dengan teliti, maka selama itu proses pemalsuan tindak lanjut menggunakan arsip foto dan create berita acara akan dianggap selesai. laporan berulang sepanjang tahun, tl hanya arsip foto dan berulang-ulang. kembalikan fungsi trotoar bagi pejalan kaki",Jalan,9
jalanan berlubang mohon di perbaiki karna makin tidak rata,Jalan,1
lampu pju sekitar sana banyak yang mati mohon bantuannya terima kasih,Jalan,11
pejalan kaki yang harus selalu mengalah ditempat ini,Jalan,10
mohon dibantu untuk pemangkasan pohon yang dimana pohon tergabung dengan kabel kabel pln yg sembrawut,Pohon,6
"truk dan mobil rongsokan yang terparkir sembarangan sudah jadi pemandangan tetap di perumahan ini. laporan sudah berulang kali, tapi pemerintah cuma kasih himbauan. mungkin truknya dan mobil butuh penghargaan atas kontribusinya dalam 'keindahan' jalanan perumahan",Parkir Liar,10
"ga kurang dari 1 bulan kondisi kaya gini, makin dalem tu bekas galian yang ga dikerjain. bahaya banget apa lagi musim hujan. ga cuma lokasi di foto, tapi 500 meter ke depan ke belakang kondisi sama.",Jalan,1
hancur hancuran perlintasan kereta berulang-ulang kali tambal sulam makan korban jiwa. segera di beton,Jalan,1
rusak parah sekali banyak sekali lubang diperlintasan kereta api besar penyebab kemacetan parah karena kerusakan jalan,Jalan,1
banyak sekali tabrakan karena lubang kerusakan dibiarkan binamarga sudah berkali kali diperbaiki asal2an pastikan perlintasan besar ini mulus bila perlu di beton,Jalan,1
perlintasan besar kereta api jalanan hancur semua dan berlubang parah. sebelum lebaran baru ditambal sulam binamarga sudah hancur. penyebab kemacetan luar biasa dan sudah sering makan korban jiwa berulang kali harap perbaiki dengan baik,Jalan,1
banyak pohob tumbuh di flyover semanggi dinas bersihkan semuanha,Pohon,28
tolong diperbaiki kanstin jalan yang berantakan.,Jalan,4
"butuh segera ditindaklanjuti karena fasilitas publik rusak, harus segera di perbaiki atau ganti terima kasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",1
bakar sampah polusi udara mohon segera ditindak tim kelurahan,Sampah ,5
"mohon di cek, lampu warna hijau pada apill terbuka. mohon tl untuk perbaikan",Jalan,11
pohon bungkus pju jalanan gelap dimalam hari pangkas segera,Pohon,16
follow up masalah yang terus berulang persoalan bakar sampah,Sampah ,5
terdapat tukang parkir liar di alfamart segera tindak lanjuti masalah,Pungutan Liar,10
"mohon tl untuk pelepasan papan tersebut, karena papan tersebut sudah tidak relevan sekarang. yang berhenti disitu hanyalah bus tj d11 ke depok dan 7w ke kcic hal ini membuat orang bingung",Transportasi Publik,17
parkir di trotoar mengganggu ketertiban dan melanggar aturan,Parkir Liar,18
"pohon runtuh, mohon tl untuk perbaikan hal ini. segera tindak lanjuti masalah",Pohon,16
"ranting pohon sudah menurun kebawah , takut membahayakan pengguna jalan krn musim hujan yg tidak menentu",Pohon,6
masalahnya lampu penerangan sepanjang jalan h.salim 3 sdh ampir 1 minggu mati. mohon pihak terkain d perbaiki. segera tindak lanjuti masalah. terima kasih,Jaringan Listrik ,11
selamat malam team jaki menginfokan adanya pohon tumbang sekitar jalan jendral sudirman tepatnya di depan grand sahid hotel posisi at logo grand sahid jaya . sementara sudah di potong & di singkirkan oleh satpam kawasan sahid..mohon untuk di tl,Pohon,6
"mhn diperiksa lagi, maksudnya lampu yang berakarat adlah lampu dibawahnya yg sdh tdk terpakai lagi, mohon di lepas saja",Jaringan Listrik ,11
parkir liar sangat mengganggu segera tindak lanjuti masalah,Parkir Liar,10
tolong vandalisme banner football hambat pejalan kaki alias kuhp hambat ke enasan bergerak alias vandalisme dicopot tuntas,Gangguan dan Kebisingan  ,26
akibat tidak adanya monitoring berkala hingga pkl liar balik berdagang lg di atas saluran air,Gangguan dan Kebisingan  ,10
tolong sampah ceceran dekat halte atau flyover belum diangkut. mohon jangan dipindah pindah tapi ke tempat yg benar dibuangnya,Sampah ,14
"tiang bollard trotoar rusak, minta tolong diperbaiki.",Trotoar,4
"kpd dishub mohon untuk menjaga trotoar di area tersebut, agar para pemotor tidak naik ke trotoar dan menggangu pejalan kaki",Jalan,10
"butuh segera di tindak lanjuti di trotoar ini ada sodetan tali air yg tidak berfungsi, sehingga kalau kondisi hujan di area ini banjir. mohon segera untuk di tindak lanjuti . terimakasih",Penanganan Banjir,3
"kali sekertaris sekmen sukabumi utara jl adam ujung meluap rumah terendam segera kirim bantuan!! pasang pompa penyedot air yang bisa di gunakan saat air kali sekertaris sekmen sukabumi utara atau keruk lumpur di kali sekertaris sekmen sukabumi utara. air kali sekertaris meluap banjir kerap berulang dari tahun ke tahun, solusi yg diusulkan warga diabaikan! petugas hanya datang saat banjir surut, foto lalu pulang, begitu terus tanpa ada solusi. segera tindak lanjuti masalah!!!",Penanganan Banjir,3
mana sudin kehutanan pohon bungkus lampu jalan gak kelihatan sama sekali,Pohon,16
perbaiki dan aspal ditikungan agar mulus dan tidak berlubang,Jalan,1
"motor parkir sembarangan masuk ke ruas jalan, sehingga satu jalur tidak bisa digunakan",Parkir Liar,10
"ibu2 dibelakng ini bakar sampah, di tegur malah makin banyak bakarnya . tolong ditegur dan tolong di fasilitasi bagaimana buang sampahnya",Sampah ,5
perbaikan asal asalan binamarga. sudah 3 kali hancur parah karena pjlp asal2an. gelar hotmix ataupakai beton agar mulus sepanjang jalan,Jalan,1
"kotor sekali under pass pramuka ini, mohon disapu agar jakarta lebih bersih",Sampah ,3
"mohon bersihkan sampah papan dan box, atau yang lain. ada dibawah kolong jembatan",Sampah ,14
"simpang total buah, traffic light busway arah ragunan mati, mohon untuk ditindaklanjuti, terimakasih...",Perlengkapan Lalu Lintas,11
"galian pdam seenaknya saja ditinggalkan terbuka tanpa ada tanggung jawab dari kontraktor utk mengaspal kembali jalan spt sebelumnya, kontraktornya tdk bertanggungjawab dan ambil untungnya kebanyakan atau dikorup nih?????",Jalan,1
jalan di sepanjang jalan ini hancur dan banyak lubang. mohon petugas perbaiki aspal sepanjang jalan ini.,Jalan,1
binamarga mengapa puluhan pju mati di jalan raya dibiarkan mati bolak balik dibiarkan saja kalau gak dilaporkan gak ada inisiatif kerja,Jalan,11
puimg sudah berusia dua tahun diabaiin lurah dan disposisi terkait dengan gak oakai pernyataan sampai kapan diangkut.diatas saluran air. maka sah atasan atau atasan lurah nya kena pembebasan jabatan di uu 30/2014 pasql 60an yaotu pejabat yg melanggar lingkungan hidup pembebasna jabatan. alasan yg lalu enggak pakai pernyataan diatas meterai. kronologi: area ini ada perdagangan ornag dulunha di kasus panti pijat vo niebyg diadukan suryawati maya selama dua tahub baru diusir terkait vonny pijat gak berijin depan kanan kiri belakang dan pemijat ya bergincu dan berias menor. gak sesuainuu kesehatan. kini gak jauh dari bekas te oat panti pijat ada lagi puimg gak di uang sudah lama. seharusnya dibebaskan jabatan purah atau atasannya sesuai uu dimaksud,Sampah ,26
belanja di parkirliar di depan pagar,Perizinan ,25
sampah diduga diatas saluran air karna ketutup tanah intinya status fasum. satang les. dll,Sampah ,14
ini yang namanya selesai? . .,Parkir Liar,0
"ada 2 pohon angsana yg sudah sangat tinggi, kalau angin kencang/hujan takut rubuh/patah sudah sangat membahayakan, lokasi dekat futsal tifosi, mohon bantuannya agar ditebang atau dirapihkan, terima kasih atas bantuannya butuh segera ditindaklanjuti",Pohon,6
lakukan penoppingan pohon menjuntai ke jpo agar rapi dan tertata,Pohon,16
tolong pembangunan baru penambahan ruang belum ijin tata ruang atau tidkancantimkan penambahan di pemasangan ijin pbg baru,Tata Ruang dan Bangunan ,26
"tolong di rapikan.. banyak korban berguguran di jalan 😛 kalau udah ga ada jalur sepeda lagi, sebaiknya di cabut aja dishub","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",1
banyak sampah agar segera dibersihkan oleh tim pjlp ppsu,Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),39
tolong donk lampu jalanan mati tolong perbaiki oleh dinas penerangan jalan,Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),31
air dari perusahaan tsb pembuangan airnya kejalan raya tolong pemerintah setempat carikan solusi atau kasih somasi!!!,Penanganan Banjir,3
"spanduk tanpa ijin yang dibiarkan saja terpasang, tdk amanah",Perizinan ,38
ada pelanggaran segera tindak lanjuti masalah masalah ini terjadi saat butuh segera ditindaklanjuti karena parkir liar inap mobil ditengah jalan.,Parkir Liar,20
"ruwet bamyak galian, yalian pipa dan kabel optik buat macet, dan tidak ada tg atur!",Arus Lalu Lintas,1
lampu jalan mati butuh segera ditindaklanjuti karena sangat gelap,Jalan,11
"fasilitas sarana dan prasarana di rsud cengkareng berupa toilet laki laki di lt 1 rusak dari sebelum puasa sampai habis lebaran belum juga diperbaiki, apakah sekelas rsud tidak punya uang untuk memperbaiki toilet saja, yang saya heran renovasi toilet yg biayanya lebih besar aja bisa. selain itu petugas scrity sangat kurang di loby sehingga ketika sedang banyak pengunjung, pasien kesulitan untuk bertanya apalagi antrian yg mau ngambil obat di apotik sangat tidak terfasilitasi dengan baik, kursi tunggu sangat kurang. sebagai pasien lama saya merasakan penurunan kualitas pelayanan dari 10tahun yang lalu di rsud cengkareng ini. tolong kiranya ibu/bapak direktur keliling pelayanan untuk melihat langsung, jng hanya duduk manis menerima laporan bawahan yang sifatnya asal bpk/ibu senang.",Pelayanan Kesehatan ,13
yth temans mohon ceceran sampah di sal air sesuai patokan dan fisik di foto pelapor thank,Sampah ,14
hotel classic !! knapa smmasih kenceng jedug2nya di jam 12keatas jam 1 ke atas knp lbh kenceng????!!!!!! nih petugas kesana ada hasilnya gak ? diskusi ngomong doang .. hotel janji kecikin mana ??!!!! brisik woiii sejak ada club barunya ??!!! masak grdengar sampai 600mtr kebelakang!!?!?!?!?!?,Gangguan dan Kebisingan  ,5
reklame biznet di jalur hijau di tiang listrik tanpa izin mengganggu pemandangan,Reklame/Spanduk ,18
"tolong ini preman berkedok pak ogah dan sering bikin macet, setiap kali pulang / pergi masa harus sih saya menghadapi orang sprti ini?? tadi sore saya lewat sini ngatain saya tolol saya mau lurus tiba2 dia maju mau berhentiib mobil saya yang sudah berjarak 1m dengan dia, pengendara di belakang aja ga ada yg maju hanya dia saja ( seperti sengaja ) lalu ngatain saya tolol, kalo saya tidak bersama keluarga saya udh pasti puter balik, tolong ditindak lanjuti banyak preman2 begini berkedok pak ogah, di penjaringan juga ada di dekat apartmen. mohon di tindak lanjuti segera",Jalan,10
"sampah koondekat bibir kali sungai , padahal pembuangan sampah gak dekat alias cukup jauh. mohon sampa tersebut dpt diangilkut semuanya",Sampah ,14
apakah pekerjaan bangunan tanpa pbg/imb ini diperbolehkan lanjut sampai selesai?,Perizinan ,8
ada pelanggaran segera tindak lanjuti masalah masalah ini terjadi saat butuh segera ditindaklanjuti parkir liar di tengah jalan menutup akses jalan warga.,Parkir Liar,20
"lampu jalan di depan gang mati sudah le bih dari satu minggu, namun belum ada tindak lanjut sampai sekarang mengenai lampu jalan yang mati. minimnya pencahayaan mengganggu aktivitas warga di malam hari, dimohon untuk segera ditindaklanjuti lampu jalan yang mati ini karena sudah lebih dari satu minggu.",Jalan,11
"lampu jalan mati,posisi depan gang jalan d1 telukgong mohon bantu cek dan tindak lanjut","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
lampu pju mati tolong dinas terkait menindaklanjuti terima kasih,Jaringan Listrik ,11
iklan rokok ⭐ laporan kedua spanduk liar rokok melintang di tengah jalan,Kawasan Dilarang Merokok,36
butuh segera ditindaklanjuti karena mohon di bantu untuk penopingan pohon angsana yg ada di depan toko indomaret karena sudah sangat tinggi pohonnya bahaya banyak ranting yg sdh pada jatuh mohon segera di tindak lanjuti takut hal yg tidak di inginkan.. terima kasih,Pohon,6
mohon segera tindak lanjuti masalah beberapa lampu pju sudah mati 3 hari yang ada di wilayah rw 04 ancol yg mengakibatkan area sekitar menjadi gelap. terima kasih,Jaringan Listrik ,11
"paving block rusak-rusak depan pintu masuk smpn 205, tolong diperbaiki.",Trotoar,4
tanaman liar di komplek perumahan kami segera tindak lanjuti masalah,Sampah ,3
"tolong durasi lampu hijau dari jl. pesanggrahan arah jl. puri kembangan ditambah, karena setiap sore macet panjang.terimakasih",Arus Lalu Lintas,7
"segera tindak lanjuti masalah kemacetan di gatot subroto,,polisi pada kemana sih? cuman foto2 aja?? tolong diatur lalu lintasnya",Arus Lalu Lintas,7
"mohon bantuannya, lampu pju mwti sudah 1 minggu, sangat gelap, khawatir ada apa apa , terima kasih",Jaringan Listrik ,11
"lampu pju sdh lama di copot/di servis sampai skrg blm di pasang kembali , mhn utk yg berwenang seger di perbaiki/di pasang kembali krn sangat gelap...terima kasih",Jaringan Listrik ,11
butuh segera ditindaklanjuti karena pohon roboh menimpah rumah saya. mohon tolng segeera ditindak lanjuti. dan mohon tolong pohon bagian atasnya ditebang karna sudah sebagian mau roboh lagi sangat membahayakan,Pohon,6
mohon ditambal jalan yg berlubang itu sudah diberi paving blok oleh masyarakat,Jalan,1
parkir seenaknya ada pelanggaran ada pelanggaran ada pelanggaran,Parkir Liar,18
"tolong binamarga programkan perbaikan berkala untuk pekerjaan pengecoran rigid beton pada underpass basura, dilokasi tersebut coran awalnya rusak dan sudah sering di tambal bolak balik dan selalu rusak kembali",Jalan,45
corli tolong d tl y atmin... sesuai sk sekda kewenangan ppsu corli,Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),38
"mohon bantuan sda untuk dapat menutup (memberikan tutup saluran) saluran air karena rawan jeblos mobil dan motor, terimakasih",Tutup Saluran ,1
"permasalahan: turunkan bendera gerindra, tidak ada izin pemasangan, tolong diturunkan semua",Reklame/Spanduk ,33
lampu lalu lintas warna kuning mati dan menyalanya berkedip kedip,Perlengkapan Lalu Lintas,11
sampah dibuang sembarangan dan sudah lebih dari 4 hari tidak ada penanganan.,Sampah ,3
"ini ada lumpur bekas oknum truk sampah yg tidak bertanggung jawab, tolong dibersihkan",Sampah ,37
seluruh lampu pju di sepanjang jl. tanjung karang mati,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
"butuh segera ditindaklanjuti karena lampu jalan mati, sehingga tidak dapat digunakan untuk menerangi jalan. sekaligus daun dan pepohonan sekitar harus di rapihkan karena membuat lampu tidak berfungsi secara optimal. jakarta menyala!!!",Jalan,6
lampu penerangan jalan umum padam mohon segera di perbaiki,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
"ada biawak cukup besar, bingung mau dikemanalan. mohon baantuannya.",Penanganan Kebakaran,5
pemalakan ormas pp terhadap pedagang ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah,Gangguan dan Kebisingan  ,20
lampu pju mati sudah seminggu. mohon perbaikan segera tindak lanjuti masalah,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
spanduk liar spanduk liar dipasang tiap akhir pekan,Reklame/Spanduk ,36
"tolong menara telekomunikasi dikordinasi ke ptsp kota propinsi apakah boleh di wilayah zona r4,misalnya . kapan peringatan bukan kaya lurah semper timur bhw yg penelantaran tanah udah diinfo via telpon kaya bisik bisikan,bukan tulisan . tks",Keluhan Pelayanan ,26
"jalan aspal ini sudah hancur atau rusak, mohon dilakukan penambalan jalan tersebut agar menjadi rapi.","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",1
"tolong pak pj gubernur dki jakarta walikota jakarta timur ada pelanggaran di depan mata di diamkan saja ,, pt yang di maksud pemilik reklame sudah seringkali di berikan surat peringatan saja tapi tidak ada tindakan kongkrit dari petugas di lapangan. kami merasa terganggu sebagai pengguna trotoar tiang yang tidak ada izinnya yang jelas dan jelas di situ pelanggarannya berdiri di atas trotoar. tolong keseriusan ketegasan petugas di lapangan jangan hanya laporan foto tanpa ada tindakan yang kongkrit. segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah segera tindak lanjuti masalah ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran ada pelanggaran",Tata Ruang dan Bangunan ,8
jalan ini sangat gelap karena tidak ada penerangan jalan ... jalan tersebut jalan buntu. mohon di dirikan 1 penerangan jalan ditempat tersebut. guna meminimalisir rawan kejahatan segera tindak lanjuti masalah tersebut.,Jalan,11
spanduk liar spanduk liar poli-tikus sampah di jpo musim kampanye pun jpo dilarang dipasang apk korupsi triliunan berawal dari permisif terhadap pelanggaran yg dianggap kecil seperti ini termasuk alih fungsi hutan di riau,Reklame/Spanduk ,36
laporan berulang kali. derek bukan tl pegang ban ada pelanggaran,Parkir Liar,0
aspal rusak terus karena bukan pipa bocor yg diperbaiki; bodoh atau purapura bodoh,Jalan,1
akibat 1 tl untuk puluhan laporan berulang ada pelanggaran,Parkir Liar,0
ini ijin pbg untuk bangun rumah tinggal kenapa jadi deretan rumah toko yah. deket dengan kelurahan apa tidak di cek yah. bangunan maju menghalangi trotoar. di ujung ada pohon yang cukup besar kenapa bisa di potong kan bagus buat penghijauan tolong tim citata tim pertamanan dan kelurahan tolong di cek kembali ijinnya ada pelanggaran ada pelanggaran ada pelanggaran,Pohon,8
"lampu pju sdh lama mati dan ketutup pohon , jln sekitar menjadi gelap mhn utk segera di perbaiki dan pohon utk di potong .. terima kasih",Jaringan Listrik ,11
ini apa-apaan jalan ditutup begini? ini jalan besar bisa dua arah! biar orang-orang masuk plaza semanggi bayar rp5.000? dzolimi ni namanya. di situ ada 2 rumah sakit. kalau dalam keadaan darurat gimana? di mana fungsi dishub dalam berpikir.,Jalan,17
"sampah botol dna ceceran ditaruh didalam pohon, depan indomart apartemen. fasum",Sampah ,14
mohon dilakukan pengaspalan pada beberapa jalan yang berlubang,Jalan,39
"eksploitasi anak kecil utk mengamen, kasihan krn harus dipaksa utk terpapar panas dan asap ranmor serta debu jalanan.",Perlindungan Korban Tindak Kekerasan,23
tolong diberantas pak ogah ini.. meresahkan sekali,Pungutan Liar,10
tanah kosong jadi dugaan pelanggaran k3 ada pembangunan disamping tapi tidak pakai pemberitahuan kalau kerja jangan kena fasum langsung dibuang dll atau tanah ini ada rumah rumah tangga kecil maksudnya apa,Tata Ruang dan Bangunan ,26
"kabel menjuntai semrawut d pedestrian, resiko terkena pejalan kaki. pihak terkait tolong d rapihkan","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",6
lampu pju mati sudah berbulan-bulan tidak ada perbaikan (titik ke 1),Jaringan Listrik ,42
parkirliar 24 jam di depan rumah,Perizinan ,25
"tolong bantuannya pak camat, terminal bayangan masih terus terjadi setiap hari. bis datang jam 18.15, ngetem selama kira2 1 jam.",Gangguan dan Kebisingan  ,10
"teknisi pam datang berdua dgn motor, cuma ngecek doang, ga bawa alat untuk penyetelan air on/off , harus melaporkan kembali ke muara karang divisi teknisi yg ada disana. no pelanggan : 000073375",PDAM/PAM,3
untuk dapat kenyamanan dalam berolahraga. warga harus nyapu sendiri. ahahhhhh parah nih,Sampah ,22
pju mati semua (padam berderet) di jalur jalan ini,Jaringan Listrik ,11
needs urgent action because lampu pju beberapa titik mati di sepanjang jalan metro pondok indah dari underpass bca sampe mall pondok indah. untuk di tindak lanjuti. karena gelap kalo malam,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",11
jam 18.00 penuh dengan pkl liar di trotoar dan badan jalan! harap segera ditertibkan pelanggaran perda dan uu llaj!,PKL Liar,21
masih macet juga setiap pagi dari perempatan situ sampe arah yg mau ke jgc. perkara ogah ga beres ngaturnya. padahal ga ada apa apa lalin keluarnya lancar dipendem terus tuh mobil yg dari arah jgc. naro petugas buat ngatur lalin disitu kayanya susah banget padahal pagi aja biar lancar minimal,Arus Lalu Lintas,7
masalah ini terjadi saat ini oknum masyarakat membuang sampah sembarangan,Sampah ,3
"ada pelanggaran parkir liar angkot di sepanjang pedestrian pejalan kaki, sampai hari ini sudin dishub jakut tidak memiliki kompetensi dalam penegakkan hukum terhadap pemilik angkot yang tidak memiliki garasi.",Parkir Liar,10
"tolong saluran yg ambrol ini dibenahi ya, sangat ghu aliran air. trm ksh",Penanganan Banjir,35
"mohon dilakukan penebangan pohon karena dahan pohon sudah terlalu tinggi, terima kasih",Pohon,6
langganan parkir pinggir jalan ini coffeeshop menutupi jalur pejalan kaki,Parkir Liar,10
lakukan penopingan dan pemangkasan pohon yang menutup cahayai di sepanjang jalan,Pohon,16
tolong d pasang water barrier di bahu jalan agar tdk ada parkir sembarangan paksakan satu lajur supaya tidak ada terminal bayangn,Parkir Liar,10
"terjadi pembakaran sampah setiap hari disini dekat rumah saya butuh segera ditindaklanjuti karena sangat mengganggu keluarga saya terlebih ada bayi dirumah saya, asapnya sampai masuk ke rumah, tolong segera untuk ditindak lanjuti",Sampah ,5
"juntaian kabel yang terhubung dengan kabel di tiang listrik dibiarkan tergeletak, membahayakan",Jaringan Listrik ,6
segera dilakukan pengecatan pada gardu listrik karena banyak coretan vandalisme,"Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",39
"permasalahan: permasalahan: permasalahan: sepanjang trotoar depan roti o banyak yg amblas, membahayakan pejalan kaki",Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),10
tolong diperbaiki penutup jalan yang rusak.terima kasih,"Saluran Air, Kali/Sungai",1
"apakah nunggu korban baru ada perbaikan?ini kalo bisa semua dirawat lagi,kadang banyak sampah, banyak pedagang, kamera lift rusak, tolong di cek","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",17
"mohon dilakukan penebangan pohon krn sudah terlalu tinggi dan menutupi lampu jalan, terimakasih",Pohon,6
sampah kabel listrik tidak dibuang dan dibiarkan tergeletak dipinggir jalan oleh operator,Jaringan Listrik ,23
parkir liar dan pungli masih ada. udah laporan ke dua kali nya.,Parkir Liar,22
butuh segera ditindaklanjuti karena pohon roboh kena rumah saya hingga hancur. mohon bantuannya untuk segera evakuasi pohon tersebut karna sangat berbahaya. dan mohon bantuannya untuk menebang pohon diatasnya karna bisa roboh kembali mengenai orang,Penanganan Kebakaran,6
"dahan2 pohonnya sudah mengganggu jalan masuk ke jl. pengairan,dan berbahaya apalagi sudah musim hujan, mohon ditebang/topping. terimakasih","Keluhan Fasilitas Gedung Pemda (sekolah, kantor)",6
"warung nasi uduk lengkap dengan pekerja dua atau tiga orang bikin macet terus, dimulai sejak sore hingga malam..entah minggu libur. tolong ditindak saat ramai buka. memang smua trotoar di pakai pkl lazim bisa datang,tapi kan pajak nya masuk kas rw gak tuh. ini kalau malam ya kalau diluar malam masuk kas propinsi",Gangguan dan Kebisingan  ,26
jalan rusak segera tindak lanjuti masalah .......,Jalan,1
enak nya bs parkir srmbarangan tanpa ditindak di sepanjang jalan ini,Parkir Liar,10
tolong ini jugha diturunkan bikin generasi muda rusak akibat lihat spanduk ini,Kawasan Dilarang Merokok,33
ada parkir liar. tlng segera kondisikan supaya kemacetannya hilang,Parkir Liar,10
